"location","email","fname","sname","fyomi","syomi","sex","birthday","occupation","prefecture","image"
"F","1333@4any.bc-glex.net","木村","昇吾","きむら","しょうご","男","1980/04/16","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1334@4any.bc-glex.net","木村","孝","きむら","たかし","男","1958/09/18","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1335@4any.bc-glex.net","木村","文紀","きむら","ふみかず","男","1988/09/13","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1336@4any.bc-glex.net","清川","栄治","きよかわ","えいじ","男","1961/09/21","プロ野球選手","京都府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1337@4any.bc-glex.net","金城","龍彦","きんじょう","たつひこ","男","1976/07/27","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1338@4any.bc-glex.net","国松","彰","くにまつ","あきら","男","1934/09/14","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1339@4any.bc-glex.net","国吉","佑樹","くによし","ゆうき","男","1991/09/24","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1340@4any.bc-glex.net","倉","義和","くら","よしかず","男","1975/07/27","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1341@4any.bc-glex.net","倉持","明","くらもち","あきら","男","1952/07/20","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1342@4any.bc-glex.net","栗橋","茂","くりはし","しげる","男","1951/08/10","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1343@4any.bc-glex.net","栗山","英樹","くりやま","ひでき","男","1961/04/26","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1344@4any.bc-glex.net","黒澤","俊夫","くろさわ","としお","男","1914/06/10","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1345@4any.bc-glex.net","黒滝","将人","くろたき","まさと","男","1988/04/21","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1346@4any.bc-glex.net","黒田","博樹","くろだ","ひろき","男","1975/02/10","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1347@4any.bc-glex.net","黒羽根","利規","くろばね","としき","男","1987/06/02","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"E","1348@4any.bc-glex.net","桑田","武","くわた","たけし","男","1937/01/05","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"F","1349@4any.bc-glex.net","桑田","真澄","くわた","ますみ","男","1968/04/01","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1350@4any.bc-glex.net","桑原","義行","くわはら","よしゆき","男","1982/06/15","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1351@4any.bc-glex.net","小池","正晃","こいけ","まさあき","男","1980/05/15","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1352@4any.bc-glex.net","小枝","守","こえだ","まもる","男","1951/07/29","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1353@4any.bc-glex.net","小久保","志乃","こくぼ","しの","女","1988/01/16","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1354@4any.bc-glex.net","小斉","祐輔","こさい","ゆうすけ","男","1983/04/30","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1355@4any.bc-glex.net","小坂","誠","こさか","まこと","男","1973/07/02","プロ野球選手","宮城県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1356@4any.bc-glex.net","小島","心二郎","こじま","しんじろう","男","1982/06/11","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1357@4any.bc-glex.net","小嶋","達也","こじま","たつや","男","1985/10/07","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1358@4any.bc-glex.net","小杉","陽太","こすぎ","ようた","男","1985/12/08","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1359@4any.bc-glex.net","小林","公太","こばやし","こうた","男","1991/09/01","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1360@4any.bc-glex.net","小林","高也","こばやし","たかや","男","1984/02/26","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1361@4any.bc-glex.net","駒居","鉄平","こまい","てっぺい","男","1982/05/22","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1362@4any.bc-glex.net","小宮山","慎二","こみやま","しんじ","男","1985/11/26","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1363@4any.bc-glex.net","小谷野","栄一","こやの","えいいち","男","1980/10/10","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1364@4any.bc-glex.net","小山","昭治","こやま","あきはる","男","1960/12/14","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1365@4any.bc-glex.net","小山","良男","こやま","よしお","男","1980/07/14","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1366@4any.bc-glex.net","近藤","一樹","こんどう","かずき","男","1983/07/08","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"H","1367@4any.bc-glex.net","近藤","和彦","こんどう","かずひこ","男","1936/03/02","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1368@4any.bc-glex.net","斎藤","明夫","さいとう","あきお","男","1955/02/23","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1369@4any.bc-glex.net","斉藤","和巳","さいとう","かずみ","男","1977/11/30","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1370@4any.bc-glex.net","斎藤","隆","さいとう","たかし","男","1970/02/14","プロ野球選手","宮城県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1371@4any.bc-glex.net","斉藤","宜之","さいとう","たかゆき","男","1976/06/10","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1372@4any.bc-glex.net","佐伯","貴弘","さえき","たかひろ","男","1970/04/18","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1373@4any.bc-glex.net","坂崎","一彦","さかざき","かずひこ","男","1938/01/05","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1374@4any.bc-glex.net","坂田","遼","さかた","りょう","男","1986/10/02","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1375@4any.bc-glex.net","坂元","忍","さかもと","しのぶ","男","1974/10/27","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1376@4any.bc-glex.net","佐々木","主浩","ささき","かづひろ","男","1968/02/22","プロ野球選手","宮城県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1377@4any.bc-glex.net","佐々木","信也","ささき","しんや","男","1933/10/12","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1378@4any.bc-glex.net","佐々木","順一朗","ささき","じゅんいちろう","男","1959/11/10","プロ野球選手","宮城県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1379@4any.bc-glex.net","桟原","将司","さじきはら","まさし","男","1982/08/21","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1380@4any.bc-glex.net","佐藤","兼伊知","さとう","けんいち","男","1959/09/13","プロ野球選手","北海道","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"F","1381@4any.bc-glex.net","佐藤","賢治","さとう","けんじ","男","1988/08/26","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1382@4any.bc-glex.net","佐藤","弘祐","さとう","こうすけ","男","1985/11/29","プロ野球選手","宮城県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1383@4any.bc-glex.net","佐藤","真一","さとう","しんいち","男","1965/08/07","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1384@4any.bc-glex.net","佐藤","孝夫","さとう","たかお","男","1931/08/10","プロ野球選手","宮城県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1385@4any.bc-glex.net","佐藤","友亮","さとう","ともあき","男","1978/06/13","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1386@4any.bc-glex.net","佐藤","誠","さとう","まこと","男","1975/06/12","プロ野球選手","北海道","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1387@4any.bc-glex.net","佐藤","義則","さとう","よしのり","男","1954/09/11","プロ野球選手","北海道","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1388@4any.bc-glex.net","佐藤","亮太","さとう","りょうた","男","1973/05/08","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1389@4any.bc-glex.net","真田","裕貴","さなだ","ひろき","男","1984/02/07","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1390@4any.bc-glex.net","佐野","元国","さの","もとくに","男","1958/03/06","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1391@4any.bc-glex.net","鮫島","秀旗","さめじま","ひでき","男","1973/07/22","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1392@4any.bc-glex.net","鞘師","智也","さやし","ともや","男","1980/05/06","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1393@4any.bc-glex.net","澤井","道久","さわい","みちひさ","男","1979/06/25","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1394@4any.bc-glex.net","篠田","純平","しのだ","じゅんぺい","男","1985/04/20","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1395@4any.bc-glex.net","柴田","勲","しばた","いさお","男","1944/02/08","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1396@4any.bc-glex.net","島野","修","しまの","おさむ","男","1950/06/02","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1397@4any.bc-glex.net","清水","章夫","しみず","あきお","男","1975/09/09","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1398@4any.bc-glex.net","清水","直行","しみず","なおゆき","男","1975/11/24","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1399@4any.bc-glex.net","下敷領","悠太","しもしきりょう","ゆうた","男","1983/05/04","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"A","1400@4any.bc-glex.net","白井","正勝","しらい","まさかつ","男","1966/08/02","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1401@4any.bc-glex.net","白坂","契","しらさか","ひさし","男","1961/05/10","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1402@4any.bc-glex.net","白鳥","浩徳","しらとり","ひろのり","男","1966/05/04","プロ野球選手","宮城県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1403@4any.bc-glex.net","白濱","裕太","しらはま","ゆうた","男","1985/10/31","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1404@4any.bc-glex.net","杉谷","拳士","すぎや","けんし","男","1991/02/04","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1405@4any.bc-glex.net","杉山","晃紀","すぎやま","あきのり","男","1990/11/01","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1406@4any.bc-glex.net","杉山","俊介","すぎやま","しゅんすけ","男","1977/06/05","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1407@4any.bc-glex.net","杉山","直久","すぎやま","なおひさ","男","1980/12/25","プロ野球選手","京都府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1408@4any.bc-glex.net","鈴衛","佑規","すずえ","ゆうき","男","1977/09/29","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1409@4any.bc-glex.net","鈴木","慶子","すずき","けいこ","女","1968/05/20","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1410@4any.bc-glex.net","鈴木","貴久","すずき","たかひさ","男","1963/11/20","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1411@4any.bc-glex.net","須永","英輝","すなが","ひでき","男","1985/10/28","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1412@4any.bc-glex.net","角","晃多","すみ","こうた","男","1991/01/03","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1413@4any.bc-glex.net","住田","ワタリ","すみだ","わたり","男","1977/09/29","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1414@4any.bc-glex.net","相馬","勝也","そうま","かつや","男","1963/05/11","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1415@4any.bc-glex.net","田尾","安志","たお","やすし","男","1954/01/08","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1416@4any.bc-glex.net","高井","雄平","たかい","ゆうへい","男","1984/06/25","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1417@4any.bc-glex.net","高木","宣宏","たかぎ","のぶひろ","男","1963/05/20","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1418@4any.bc-glex.net","高口","隆行","たかぐち","たかゆき","男","1983/08/23","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1419@4any.bc-glex.net","高沢","秀昭","たかざわ","ひであき","男","1958/09/10","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"E","1420@4any.bc-glex.net","高島","毅","たかしま","つよし","男","1986/05/29","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1421@4any.bc-glex.net","高田","繁","たかだ","しげる","男","1945/07/24","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1422@4any.bc-glex.net","高梨","利洋","たかなし","としひろ","男","1974/01/09","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1423@4any.bc-glex.net","高野","光","たかの","ひかる","男","1961/05/20","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1424@4any.bc-glex.net","高橋","建","たかはし","けん","男","1969/04/16","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1425@4any.bc-glex.net","高橋","徹","たかはし","とおる","男","1978/02/23","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1426@4any.bc-glex.net","高橋","尚成","たかはし","ひさのり","男","1975/04/02","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1427@4any.bc-glex.net","高橋","光信","たかはし","みつのぶ","男","1975/07/07","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1428@4any.bc-glex.net","髙橋","慶彦","たかはし","よしひこ","男","1957/03/13","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1429@4any.bc-glex.net","高宮","和也","たかみや","かずや","男","1981/12/04","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1430@4any.bc-glex.net","田上","健一","たがみ","けんいち","男","1987/12/12","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1431@4any.bc-glex.net","滝澤","彩","たきざわ","あや","女","1988/03/18","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1432@4any.bc-glex.net","武隈","祥太","たけくま","しょうた","男","1989/11/24","プロ野球選手","北海道","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1433@4any.bc-glex.net","田澤","純一","たざわ","じゅんいち","男","1986/06/06","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1434@4any.bc-glex.net","田沢","由哉","たざわ","ゆうや","男","1987/04/17","プロ野球選手","北海道","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1435@4any.bc-glex.net","田代","富雄","たしろ","とみお","男","1954/07/09","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1436@4any.bc-glex.net","多田野","数人","ただの","かずひと","男","1980/04/25","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"F","1437@4any.bc-glex.net","立石","充男","たていし","みつお","男","1957/12/06","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1438@4any.bc-glex.net","館山","昌平","たてやま","しょうへい","男","1981/03/17","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1439@4any.bc-glex.net","建山","義紀","たてやま","よしのり","男","1975/12/26","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1440@4any.bc-glex.net","田中","彰","たなか","あきら","男","1982/10/23","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1441@4any.bc-glex.net","田中","大二郎","たなか","だいじろう","男","1988/04/29","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1442@4any.bc-glex.net","田中","秀昌","たなか","ひでまさ","男","1957/03/16","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1443@4any.bc-glex.net","田中","浩康","たなか","ひろやす","男","1982/05/24","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1444@4any.bc-glex.net","田中","雅彦","たなか","まさひこ","男","1982/01/09","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1445@4any.bc-glex.net","田中","碧","たなか","みどり","女","1987/06/01","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1446@4any.bc-glex.net","谷","佳知","たに","よしとも","男","1973/02/09","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1447@4any.bc-glex.net","谷中","真二","たになか","しんじ","男","1973/05/15","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1448@4any.bc-glex.net","種田","仁","たねだ","ひとし","男","1971/07/18","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1449@4any.bc-glex.net","田上","秀則","たのうえ","ひでのり","男","1980/03/20","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1450@4any.bc-glex.net","田野倉","利男","たのくら","としお","男","1954/04/03","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1451@4any.bc-glex.net","田原","晃司","たはら","こうじ","男","1975/02/26","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1452@4any.bc-glex.net","田淵","幸一","たぶち","こういち","男","1946/09/24","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1453@4any.bc-glex.net","多村","仁志","たむら","ひとし","男","1977/03/28","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1454@4any.bc-glex.net","丹野","祐樹","たんの","ゆうき","男","1980/07/20","プロ野球選手","宮城県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1455@4any.bc-glex.net","代田","建紀","だいた","たけのり","男","1974/02/11","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1456@4any.bc-glex.net","ダルビッシュ","有","だるびっしゅ","ゆう","男","1986/08/16","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1457@4any.bc-glex.net","塚本","浩二","つかもと","こうじ","男","1982/01/18","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1458@4any.bc-glex.net","土屋","恵三郎","つちや","けいざぶろう","男","1953/11/22","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1459@4any.bc-glex.net","筒井","壮","つつい","そう","男","1974/11/01","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1460@4any.bc-glex.net","筒井","正也","つつい","まさや","男","1976/04/11","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1461@4any.bc-glex.net","角田","篤敏","つのだ","あつとし","男","1959/01/12","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1462@4any.bc-glex.net","円谷","英俊","つぶらや","ひでとし","男","1984/09/17","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1463@4any.bc-glex.net","坪井","智哉","つぼい","ともちか","男","1974/02/19","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1464@4any.bc-glex.net","鶴","直人","つる","なおと","男","1987/04/25","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
